datetime,value
1991-07-01 23:30:00,4508.06
1991-07-02 00:30:00,4508.06
1991-07-02 01:30:00,4508.06
1991-07-02 02:30:00,4508.06
1991-07-02 03:30:00,4504.900000000001
1991-07-02 04:30:00,4501.72
1991-07-02 05:30:00,4501.72
1991-07-02 06:30:00,4501.72
1991-07-02 07:30:00,4498.54
1991-07-02 08:30:00,4496.96
1991-07-02 09:30:00,4496.96
1991-07-02 10:30:00,4496.96
1991-07-02 11:30:00,4496.96
1991-07-02 12:30:00,4496.96
1991-07-02 13:30:00,4496.96
1991-07-02 14:30:00,4492.2
1991-07-02 15:30:00,4490.62
1991-07-02 16:30:00,4490.62
1991-07-02 17:30:00,4490.62
1991-07-02 18:30:00,4490.62
1991-07-02 19:30:00,4490.62
1991-07-02 20:30:00,4490.62
1991-07-02 21:30:00,4485.86
1991-07-02 22:30:00,4482.6900000000005
1991-07-02 23:30:00,4482.6900000000005
1991-07-03 00:30:00,4482.6900000000005
1991-07-03 01:30:00,4479.51
1991-07-03 02:30:00,4477.93
1991-07-03 03:30:00,4477.93
1991-07-03 04:30:00,4477.93
1991-07-03 05:30:00,4477.93
1991-07-03 06:30:00,4473.17
1991-07-03 07:30:00,4471.59
1991-07-03 08:30:00,4471.59
1991-07-03 09:30:00,4471.59
1991-07-03 10:30:00,4471.59
1991-07-03 11:30:00,4471.59
1991-07-03 12:30:00,4471.59
1991-07-03 13:30:00,4466.83
1991-07-03 14:30:00,4465.25
1991-07-03 15:30:00,4465.25
1991-07-03 16:30:00,4465.25
1991-07-03 17:30:00,4465.25
1991-07-03 18:30:00,4465.25
1991-07-03 19:30:00,4462.07
1991-07-03 20:30:00,4460.4800000000005
1991-07-03 21:30:00,4460.4800000000005
1991-07-03 22:30:00,4455.7300000000005
1991-07-03 23:30:00,4454.14
1991-07-04 00:30:00,4454.14
1991-07-04 01:30:00,4454.14
1991-07-04 02:30:00,4450.97
1991-07-04 03:30:00,4447.79
1991-07-04 04:30:00,4447.79
1991-07-04 05:30:00,4447.79
1991-07-04 06:30:00,4447.79
1991-07-04 07:30:00,4444.63
1991-07-04 08:30:00,4443.04
1991-07-04 09:30:00,4443.04
1991-07-04 10:30:00,4443.04
1991-07-04 11:30:00,4443.04
1991-07-04 12:30:00,4439.86
1991-07-04 13:30:00,4438.28
1991-07-04 14:30:00,4438.28
1991-07-04 15:30:00,4438.28
1991-07-04 16:30:00,4438.28
1991-07-04 17:30:00,4438.28
1991-07-04 18:30:00,4438.28
1991-07-04 19:30:00,4438.28
1991-07-04 20:30:00,4433.52
1991-07-04 21:30:00,4431.9400000000005
1991-07-04 22:30:00,4431.9400000000005
1991-07-04 23:30:00,4427.18
1991-07-05 00:30:00,4425.6
1991-07-05 01:30:00,4425.6
1991-07-05 02:30:00,4425.6
1991-07-05 03:30:00,4422.42
1991-07-05 04:30:00,4420.83
1991-07-05 05:30:00,4420.83
1991-07-05 06:30:00,4420.83
1991-07-05 07:30:00,4420.83
1991-07-05 08:30:00,4420.83
1991-07-05 09:30:00,4420.83
1991-07-05 10:30:00,4416.08
1991-07-05 11:30:00,4414.49
1991-07-05 12:30:00,4414.49
1991-07-05 13:30:00,4414.49
1991-07-05 14:30:00,4414.49
1991-07-05 15:30:00,4411.32
1991-07-05 16:30:00,4409.7300000000005
1991-07-05 17:30:00,4409.7300000000005
1991-07-05 18:30:00,4409.7300000000005
1991-07-05 19:30:00,4409.7300000000005
1991-07-05 20:30:00,4409.7300000000005
1991-07-05 21:30:00,4409.7300000000005
1991-07-05 22:30:00,4406.56
1991-07-05 23:30:00,4403.39
1991-07-06 00:30:00,4398.63
1991-07-06 01:30:00,4398.63
1991-07-06 02:30:00,4398.63
1991-07-06 03:30:00,4393.87
1991-07-06 04:30:00,4392.29
1991-07-06 05:30:00,4392.29
1991-07-06 06:30:00,4392.29
1991-07-06 07:30:00,4392.29
1991-07-06 08:30:00,4392.29
1991-07-06 09:30:00,4392.29
1991-07-06 10:30:00,4387.53
1991-07-06 11:30:00,4385.95
1991-07-06 12:30:00,4385.95
1991-07-06 13:30:00,4385.95
1991-07-06 14:30:00,4384.36
1991-07-06 15:30:00,4381.18
1991-07-06 16:30:00,4381.18
1991-07-06 17:30:00,4381.18
1991-07-06 18:30:00,4381.18
1991-07-06 19:30:00,4381.18
1991-07-06 20:30:00,4381.18
1991-07-06 21:30:00,4381.18
1991-07-06 22:30:00,4376.43
1991-07-06 23:30:00,4373.25
1991-07-07 00:30:00,4373.25
1991-07-07 01:30:00,4373.25
1991-07-07 02:30:00,4368.49
1991-07-07 03:30:00,4365.33
1991-07-07 04:30:00,4365.33
1991-07-07 05:30:00,4365.33
1991-07-07 06:30:00,4362.15
1991-07-07 07:30:00,4360.56
1991-07-07 08:30:00,4360.56
1991-07-07 09:30:00,4360.56
1991-07-07 10:30:00,4360.56
1991-07-07 11:30:00,4360.56
1991-07-07 12:30:00,4360.56
1991-07-07 13:30:00,4355.81
1991-07-07 14:30:00,4354.22
1991-07-07 15:30:00,4354.22
1991-07-07 16:30:00,4354.22
1991-07-07 17:30:00,4354.22
1991-07-07 18:30:00,4354.22
